act,result,age,series,judges,categories
Steve Brookstein,Winner,35,1,Simon Cowell,Overs
G4,Runner-up,23,1,Louis Walsh,Groups
Tabby Callaghan,3rd place,23,1,Sharon Osbourne,Young Adults
Rowetta Satchell,4th place,38,1,Simon Cowell,Overs
Cassie Compton,5th place,17,1,Sharon Osbourne,Young Adults
Voices with Soul,6th place,34,1,Louis Walsh,Groups
2 to Go,7th place,24,1,Louis Walsh,Groups
Verity Keays,8th place,51,1,Simon Cowell,Overs
Roberta Howett,9th place,23,1,Sharon Osbourne,Young Adults
Shayne Ward,Winner,21,2,Louis Walsh,Young Adults
Andy Abraham,Runner-up,41,2,Sharon Osbourne,Overs
Journey South,3rd place,28,2,Simon Cowell,Groups
Brenda Edwards,4th place,36,2,Sharon Osbourne,Overs
Chico Slimani,5th place,34,2,Sharon Osbourne,Overs
The Conway Sisters,6th place,22,2,Simon Cowell,Groups
Nicholas Dorsett,7th place,18,2,Louis Walsh,Young Adults
Maria Lawson,8th place,26,2,Sharon Osbourne,Overs
Chenai Zinyuku,9th place,19,2,Louis Walsh,Young Adults
Phillip Magee,10th place,21,2,Louis Walsh,Young Adults
4Tune,11th place,20,2,Simon Cowell,Groups
Addictiv Ladies,12th place,16,2,Simon Cowell,Groups
Leona Lewis,Winner,21,3,Simon Cowell,Young Adults
Ray Quinn,Runner-up,18,3,Simon Cowell,Young Adults
Ben Mills,3rd place,26,3,Sharon Osbourne,Overs
The MacDonald Brothers,4th place,20,3,Louis Walsh,Groups
Eton Road*,5th place,18,3,Louis Walsh,Groups
Robert Allen,6th place,27,3,Sharon Osbourne,Overs
Nikitta Angus,7th place,18,3,Simon Cowell,Young Adults
Ashley McKenzie,8th place,20,3,Simon Cowell,Young Adults
Kerry McGregor†,9th place,32,3,Sharon Osbourne,Overs
Dionne Mitchell,10th place,26,3,Sharon Osbourne,Overs
4Sure,11th place,30,3,Louis Walsh,Groups
The Unconventionals,12th place,33,3,Louis Walsh,Groups
Leon Jackson,Winner,18,4,Dannii Minogue,Boys
Rhydian Roberts,Runner-up,24,4,Dannii Minogue,Boys
Same Difference,3rd place,20,4,Simon Cowell,Groups
Niki Evans,4th place,34,4,Louis Walsh,Overs
Hope,5th place,20,4,Simon Cowell,Groups
Beverley Trotman,6th place,38,4,Louis Walsh,Overs
Alisha Bennett,7th place,22,4,Sharon Osbourne,Girls
Andy Williams,8th place,23,4,Dannii Minogue,Boys
Futureproof,9th place,20,4,Simon Cowell,Groups
Emily Nakanda,10th place,15,4,Sharon Osbourne,Girls
Daniel de Bourg,11th place,31,4,Louis Walsh,Overs
Kimberley Southwick,12th place,19,4,Sharon Osbourne,Girls
