series,episodes,first_ep,last_ep,avg_uk_viewers
1,24,4 September 2004,11 December 2004,7.4
2,30,20 August 2005,17 December 2005,8.73
3,30,19 August 2006,16 December 2006,8.27
4,28,18 August 2007,15 December 2007,8.57
5,30,16 August 2008,13 December 2008,10.51
6,30,22 August 2009,13 December 2009,13
7,30,21 August 2010,12 December 2010,14.13
8,31,20 August 2011,11 December 2011,12.41
9,31,18 August 2012,9 December 2012,9.92
10,32,31 August 2013,15 December 2013,9.69
11,34,30 August 2014,14 December 2014,8.98
12,28,29 August 2015,13 December 2015,8.02
13,32,27 August 2016,11 December 2016,7.62
14,28,2 September 2017,3 December 2017,6.34
15,28,1 September 2018,2 December 2018,5.75
